run number, score, number of levels, total steps, total elapsed time
343, 100.0, 3, 324, 0.2582705020904541
344, 0.0, 3, 204, 0.16586065292358398
345, 100.0, 3, 297, 0.2354719638824463
346, 300.0, 3, 398, 0.3250865936279297
347, 350.0, 3, 552, 0.4366025924682617
348, 100.0, 3, 222, 0.17554712295532227
349, 50.0, 3, 232, 0.18584632873535156
350, 100.0, 3, 230, 0.18374347686767578
351, 300.0, 3, 572, 0.4718339443206787
352, 200.0, 3, 381, 0.30669260025024414
353, 150.0, 3, 354, 0.28542113304138184
354, 300.0, 3, 341, 0.27686214447021484
355, 600.0, 3, 614, 0.5005831718444824
356, 250.0, 3, 282, 0.22472071647644043
357, 300.0, 3, 447, 0.36139798164367676
358, 200.0, 3, 341, 0.2757079601287842
359, 50.0, 3, 224, 0.18576574325561523
360, 490.0, 3, 799, 0.650338888168335
361, 100.0, 3, 285, 0.227186918258667
362, 200.0, 3, 228, 0.1771554946899414
363, 100.0, 3, 402, 0.32007288932800293
364, 150.0, 3, 383, 0.3086423873901367
365, 0.0, 3, 240, 0.1905686855316162
366, 240.0, 3, 2200, 1.6395463943481445
367, 250.0, 3, 356, 0.29608821868896484
368, 150.0, 3, 369, 0.29767537117004395
369, 50.0, 3, 202, 0.15720105171203613
370, 150.0, 3, 375, 0.3091413974761963
371, 300.0, 3, 339, 0.2758326530456543
372, 250.0, 3, 389, 0.3100278377532959
373, 50.0, 3, 252, 0.20349550247192383
374, 150.0, 3, 212, 0.1705160140991211
375, 50.0, 3, 201, 0.15931987762451172
376, 300.0, 3, 432, 0.35727643966674805
377, 200.0, 3, 288, 0.23193001747131348
378, 150.0, 3, 210, 0.16428518295288086
379, 150.0, 3, 321, 0.25933122634887695
380, 50.0, 3, 209, 0.16678166389465332
381, 50.0, 3, 282, 0.22173309326171875
382, 100.0, 3, 385, 0.30890822410583496
383, 200.0, 3, 422, 0.336928129196167
384, 0.0, 3, 211, 0.1692190170288086
385, 200.0, 3, 273, 0.21001625061035156
386, 0.0, 3, 222, 0.1804978847503662
387, 290.0, 3, 549, 0.4145963191986084
388, 450.0, 3, 545, 0.43306899070739746
389, 300.0, 3, 412, 0.3323678970336914
390, 50.0, 3, 358, 0.2961881160736084
391, 100.0, 3, 276, 0.2176966667175293
392, 150.0, 3, 230, 0.18923068046569824
393, 250.0, 3, 378, 0.311176061630249
394, 400.0, 3, 423, 0.33951377868652344
395, 150.0, 3, 213, 0.17216062545776367
396, 400.0, 3, 456, 0.361574649810791
397, 400.0, 3, 365, 0.29622435569763184
398, 200.0, 3, 266, 0.2137148380279541
399, 150.0, 3, 265, 0.21254658699035645
400, 400.0, 3, 566, 0.4614887237548828
